exch_no,stock_code,last_price
1,600600,46.410000000
1,600601,3.300000000
1,600603,4.990000000
2,000001,14.170000000
2,000016,4.200000000
2,000004,19.220000000
2,000011,10.340000000
2,000002,29.850000000
2,000005,2.970000000
2,000006,5.350000000
2,000007,6.600000000
2,000008,3.620000000
2,000009,4.650000000
2,000010,3.560000000
2,000012,4.220000000
2,000014,9.720000000
2,000017,4.450000000
2,000018,1.240000000
2,000019,6.790000000
2,000020,10.660000000
2,000021,7.990000000
2,000022,16.460000000
2,000023,13.750000000
2,000025,19.420000000
2,000026,7.540000000
2,000027,5.890000000
2,000028,41.100000000
2,000029,10.970000000
2,000030,4.520000000
2,000031,7.160000000
2,000032,9.490000000
2,000034,12.890000000
2,000035,5.390000000
2,000036,4.900000000
2,000037,12.250000000
2,000038,8.580000000
2,000039,10.260000000
2,000040,5.670000000
2,000042,9.490000000
2,000043,13.070000000
2,000045,6.800000000
2,000046,5.240000000
2,000048,19.110000000
2,000049,31.200000000
2,000050,14.980000000
2,000055,4.980000000
2,000056,4.100000000
2,000058,5.350000000
2,000059,6.410000000
2,000060,4.360000000
2,000061,5.320000000
2,000062,13.450000000
2,000063,33.260000000
2,000065,8.310000000
2,000066,9.650000000
2,000068,3.700000000
2,000069,7.410000000
2,000070,10.800000000
2,000078,3.360000000
2,000088,5.430000000
2,000089,8.960000000
2,000090,5.620000000
2,000096,9.430000000
2,000099,7.360000000
2,000100,3.480000000
2,000150,4.830000000
2,000151,10.540000000
2,000153,6.100000000
2,000155,4.240000000
2,000156,10.450000000
2,000157,6.310000000
2,000158,5.310000000
2,000159,6.950000000
2,000301,5.310000000
2,000400,8.600000000
2,000401,17.080000000
2,000402,7.750000000
2,000403,28.180000000
2,000404,4.110000000
2,000407,3.670000000
2,000408,9.230000000
2,000409,4.920000000
2,000410,5.610000000
2,000411,12.460000000
2,000413,4.910000000
2,000415,3.880000000
2,000416,6.180000000
2,000417,4.860000000
2,000418,57.390000000
2,000419,4.520000000
2,000420,2.580000000
2,000421,4.540000000
2,000422,3.030000000
2,000423,33.970000000
2,000425,4.950000000
2,000426,5.160000000
2,000428,2.820000000
2,000429,7.800000000
2,000430,6.050000000
2,000488,5.280000000
2,000498,5.050000000
2,000501,10.250000000
2,000502,7.410000000
2,000503,17.100000000
2,000504,9.020000000
2,000505,6.630000000
2,000506,3.400000000
2,000507,6.080000000
2,000509,2.570000000
2,000510,4.450000000
2,000511,0.640000000
2,000513,25.450000000
2,000514,4.450000000
2,000516,5.040000000
2,000517,2.910000000
2,000518,3.370000000
2,000519,7.910000000
2,000520,3.910000000
2,000521,3.510000000
2,000523,5.280000000
2,000524,7.910000000
2,000525,12.450000000
2,000526,22.700000000
2,000528,6.820000000
2,000529,7.190000000
2,000530,4.200000000
2,000531,7.130000000
2,000532,9.820000000
2,000533,2.690000000
2,000534,8.490000000
2,000536,3.550000000
2,000537,6.620000000
2,000538,79.330000000
2,000539,3.940000000
2,000540,3.780000000
2,000541,5.220000000
2,000543,4.500000000
2,000544,6.380000000
2,000545,3.900000000
2,000546,9.280000000
2,000547,10.100000000
2,000548,4.320000000
2,000550,18.200000000
2,000551,6.620000000
2,000552,2.640000000
2,000553,10.050000000
2,000554,5.600000000
2,000555,10.630000000
2,000557,3.420000000
2,000558,3.430000000
2,000559,5.820000000
2,000560,4.950000000
2,000561,6.690000000
2,000563,4.370000000
2,000564,2.390000000
2,000565,5.470000000
2,000566,6.200000000
2,000567,8.760000000
2,000568,83.420000000
2,000570,4.700000000
2,000571,2.410000000
2,000572,1.880000000
2,000573,3.240000000
2,000576,9.630000000
2,000581,18.310000000
2,000582,9.010000000
2,000584,6.280000000
2,000585,2.090000000
2,000586,13.200000000
2,000587,2.240000000
2,000589,4.450000000
2,000590,10.710000000
2,000591,3.140000000
2,000592,3.320000000
2,000593,6.550000000
2,000595,2.800000000
2,000596,119.800000000
2,000597,12.530000000
2,000598,4.750000000
2,000599,4.340000000
2,000600,6.140000000
2,000601,4.820000000
2,000603,12.300000000
2,000605,7.710000000
2,000606,6.010000000
2,000607,4.920000000
2,000608,6.020000000
2,000609,4.990000000
2,000610,9.420000000
2,000611,3.240000000
2,000612,4.790000000
2,000613,5.540000000
2,000615,5.050000000
2,000616,2.820000000
2,000617,11.870000000
2,000619,5.400000000
2,000620,4.120000000
2,000622,4.830000000
2,000623,16.670000000
2,000625,7.820000000
2,000626,7.840000000
2,000627,6.260000000
2,000628,9.570000000
2,000629,3.300000000
2,000630,2.330000000
2,000631,2.940000000
2,000632,5.490000000
2,000633,4.880000000
2,000635,8.620000000
2,000636,10.540000000
2,000637,4.760000000
2,000638,4.990000000
2,000639,5.470000000
2,000650,7.220000000
2,000651,55.430000000
2,000652,3.810000000
2,000655,6.030000000
2,000656,6.480000000
2,000657,6.360000000
2,000659,2.830000000
2,000661,338.800000000
2,000662,4.380000000
2,000663,6.170000000
2,000665,5.290000000
2,000666,12.910000000
2,000667,2.610000000
2,000668,15.290000000
2,000669,4.420000000
2,000670,2.050000000
2,000671,6.760000000
2,000672,13.100000000
2,000673,3.280000000
2,000676,6.170000000
2,000677,3.150000000
2,000678,6.910000000
2,000679,3.850000000
2,000680,3.980000000
2,000681,20.470000000
2,000682,4.680000000
2,000683,2.530000000
2,000685,8.370000000
2,000686,9.020000000
2,000687,6.370000000
2,000688,10.330000000
2,000690,6.350000000
2,000691,3.960000000
2,000692,2.900000000
2,000693,0.370000000
2,000695,9.110000000
2,001696,5.920000000
2,000697,10.730000000
2,000698,4.300000000
2,000700,3.700000000
2,000701,6.020000000
2,000702,6.290000000
2,000703,11.860000000
2,000705,6.470000000
2,000707,2.850000000
2,000708,13.200000000
2,000709,2.760000000
2,000710,33.460000000
2,000711,5.260000000
2,000712,13.020000000
2,000713,8.930000000
2,000715,9.430000000
2,000716,3.640000000
2,000717,4.170000000
2,000718,3.850000000
2,000719,7.000000000
2,000720,5.030000000
2,000721,4.200000000
2,000722,7.010000000
2,000723,9.720000000
2,000725,4.240000000
2,000726,9.180000000
2,000727,2.230000000
2,000728,9.090000000
2,000729,6.180000000
2,000731,5.880000000
2,000732,6.980000000
2,000733,15.320000000
2,000735,9.090000000
2,000736,6.940000000
2,000737,3.090000000
2,000738,14.900000000
2,000739,9.560000000
2,000750,5.230000000
2,000751,3.380000000
2,000752,4.060000000
2,000753,3.120000000
2,000755,4.280000000
2,000756,7.120000000
2,000757,4.520000000
2,000758,4.650000000
2,000759,7.110000000
2,000760,1.490000000
2,000761,4.370000000
2,000762,7.420000000
2,000766,6.550000000
2,000767,2.690000000
2,000768,16.580000000
2,000776,13.840000000
2,000777,13.190000000
2,000778,4.420000000
2,000779,11.690000000
2,000780,3.220000000
2,000782,3.990000000
2,000783,8.090000000
2,000785,9.830000000
2,000786,17.040000000
2,000788,6.450000000
2,000789,9.440000000
2,000790,4.380000000
2,000791,3.930000000
2,000792,6.430000000
2,000793,3.270000000
2,000795,6.160000000
2,000796,6.670000000
2,000797,3.790000000
2,000798,5.880000000
2,000799,29.110000000
2,000800,9.190000000
2,000801,5.500000000
2,000802,9.650000000
2,000803,14.400000000
2,000806,2.130000000
2,000807,4.670000000
2,000809,2.480000000
2,000810,9.060000000
2,000811,7.250000000
2,000812,3.910000000
2,000813,7.740000000
2,000815,8.700000000
2,000816,1.710000000
2,000818,8.750000000
2,000819,9.270000000
2,000820,1.920000000
2,000821,7.300000000
2,000822,5.040000000
2,000823,10.390000000
2,000825,4.130000000
2,000826,10.460000000
2,000828,8.770000000
2,000829,5.490000000
2,000830,10.720000000
2,000831,13.060000000
2,000833,5.850000000
2,000835,4.080000000
2,000836,3.930000000
2,000837,4.300000000
2,000838,3.290000000
2,000839,3.820000000
2,000848,7.950000000
2,000850,4.160000000
2,000851,5.380000000
2,000852,6.680000000
2,000856,11.070000000
2,000858,122.180000000
2,000859,5.010000000
2,000860,46.320000000
2,000861,2.690000000
2,000862,5.800000000
2,000863,5.220000000
2,000868,2.840000000
2,000869,30.180000000
2,000875,3.010000000
2,000876,18.680000000
2,000877,10.520000000
2,000878,10.400000000
2,000880,8.470000000
2,000881,7.490000000
2,000882,2.300000000
2,000883,4.170000000
2,000885,10.230000000
2,000886,3.810000000
2,000887,9.700000000
2,000888,5.920000000
2,000889,9.290000000
2,000890,4.680000000
2,000892,3.860000000
2,000893,7.340000000
2,000895,24.500000000
2,001896,3.530000000
2,000897,2.250000000
2,000898,3.510000000
2,000899,5.050000000
2,000900,4.540000000
2,000901,12.280000000
2,000902,10.550000000
2,000903,2.750000000
2,000905,7.640000000
2,000906,6.460000000
2,000908,4.400000000
2,000909,7.380000000
2,000910,9.830000000
2,000911,6.720000000
2,000912,5.250000000
2,000913,9.890000000
2,000915,21.810000000
2,000916,8.820000000
2,000917,6.480000000
2,000918,8.050000000
2,000919,7.750000000
2,000920,7.110000000
2,000921,11.350000000
2,000922,9.050000000
2,000923,16.560000000
2,000925,6.850000000
2,000926,6.750000000
2,000927,3.850000000
2,000928,5.550000000
2,000929,7.570000000
2,000930,7.120000000
2,000931,8.490000000
2,000932,4.540000000
2,000933,4.100000000
2,000935,14.520000000
2,000936,8.370000000
2,000937,3.740000000
2,000938,33.180000000
2,000939,1.050000000
2,000948,10.510000000
2,000949,2.900000000
2,000950,5.460000000
2,000951,16.620000000
2,000952,9.820000000
2,000953,3.380000000
2,000955,4.170000000
2,000957,7.120000000
2,000958,5.630000000
2,000959,3.400000000
2,000960,10.570000000
2,000961,8.620000000
2,000962,7.680000000
2,000963,28.400000000
2,000965,3.660000000
2,000966,5.110000000
2,000967,6.670000000
2,000968,11.030000000
2,000969,7.710000000
2,000970,10.080000000
2,000971,2.290000000
2,000972,2.570000000
2,000973,4.140000000
2,000975,14.470000000
2,000976,5.300000000
2,000977,21.340000000
2,000978,5.590000000
2,000979,0.220000000
2,000980,4.060000000
2,000981,1.650000000
2,000982,1.920000000
2,000983,6.130000000
2,000985,14.920000000
2,000987,9.420000000
2,000988,16.270000000
2,000989,8.460000000
2,000990,15.450000000
2,000993,7.430000000
2,000995,7.470000000
2,000996,13.150000000
2,000997,16.980000000
2,000998,13.530000000
2,000999,28.620000000
2,002001,21.020000000
2,002181,4.550000000
1,600000,11.900000000
1,600004,17.690000000
1,600006,5.090000000
1,600007,16.270000000
1,600008,3.480000000
1,600009,84.800000000
1,600010,1.590000000
1,600011,6.430000000
1,600012,5.860000000
1,600015,7.570000000
1,600016,6.040000000
1,600019,6.300000000
1,600020,4.630000000
1,600021,8.630000000
1,600026,6.370000000
1,600028,5.260000000
1,600029,7.370000000
1,600030,23.300000000
1,600031,14.200000000
1,600033,3.140000000
1,600035,3.530000000
1,600036,37.260000000
1,600037,9.740000000
1,600038,43.860000000
1,600039,3.480000000
1,600050,5.940000000
1,600051,6.280000000
1,600052,2.870000000
1,600053,23.200000000
1,600054,9.280000000
1,600055,9.640000000
1,600056,13.550000000
1,600057,4.340000000
1,600058,7.790000000
1,600059,8.820000000
1,600060,8.450000000
1,600061,14.200000000
1,600062,12.610000000
1,600063,3.140000000
1,600064,9.820000000
1,600066,13.170000000
1,600067,4.540000000
1,600068,6.080000000
1,600069,2.280000000
1,600070,8.170000000
1,600071,10.790000000
1,600072,15.300000000
1,600073,9.950000000
1,600074,1.040000000
1,600075,4.990000000
1,600076,4.280000000
1,600077,2.660000000
1,600078,6.110000000
1,600079,10.300000000
1,600080,6.230000000
1,600081,10.550000000
1,600082,4.330000000
1,600083,12.390000000
1,600084,2.190000000
1,600085,28.370000000
1,600086,3.610000000
